set;image;k;p0;p1;entropy_bits
BOSSBASE;1.bmp;1;0.339195;0.660805;0.924047
BOSSBASE;1.bmp;2;0.336197;0.663803;0.921133
BOSSBASE;1.bmp;3;0.335125;0.664875;0.920077
BOSSBASE;1.bmp;4;0.330208;0.669792;0.915139
BOSSBASE;1.bmp;5;0.307888;0.692112;0.890720
BOSSBASE;1.bmp;6;0.215309;0.784691;0.751509
BOSSBASE;1.bmp;7;0.106651;0.893349;0.489732
BOSSBASE;1.bmp;8;0.536221;0.463779;0.996211
BOSSBASE;2.bmp;1;0.500034;0.499966;1.000000
BOSSBASE;2.bmp;2;0.498600;0.501400;0.999994
BOSSBASE;2.bmp;3;0.488956;0.511044;0.999648
BOSSBASE;2.bmp;4;0.456398;0.543602;0.994508
BOSSBASE;2.bmp;5;0.470764;0.529236;0.997532
BOSSBASE;2.bmp;6;0.726349;0.273651;0.846655
BOSSBASE;2.bmp;7;0.546844;0.453156;0.993659
BOSSBASE;2.bmp;8;1.000000;0.000000;0.000000
BOSSBASE;3.bmp;1;0.466434;0.533566;0.996747
BOSSBASE;3.bmp;2;0.460728;0.539272;0.995545
BOSSBASE;3.bmp;3;0.458282;0.541718;0.994973
BOSSBASE;3.bmp;4;0.457371;0.542629;0.994750
BOSSBASE;3.bmp;5;0.441868;0.558132;0.990227
BOSSBASE;3.bmp;6;0.317253;0.682747;0.901369
BOSSBASE;3.bmp;7;0.122604;0.877396;0.536801
BOSSBASE;3.bmp;8;0.711491;0.288509;0.866788
BOSSBASE;4.bmp;1;0.484112;0.515888;0.999272
BOSSBASE;4.bmp;2;0.478569;0.521431;0.998674
BOSSBASE;4.bmp;3;0.475475;0.524525;0.998264
BOSSBASE;4.bmp;4;0.471287;0.528713;0.997620
BOSSBASE;4.bmp;5;0.446918;0.553082;0.991855
BOSSBASE;4.bmp;6;0.571014;0.428986;0.985400
BOSSBASE;4.bmp;7;0.458935;0.541065;0.995129
BOSSBASE;4.bmp;8;0.289684;0.710316;0.868313
BOSSBASE;5.bmp;1;0.500546;0.499454;0.999999
BOSSBASE;5.bmp;2;0.505718;0.494282;0.999906
BOSSBASE;5.bmp;3;0.483345;0.516655;0.999199
BOSSBASE;5.bmp;4;0.519321;0.480679;0.998923
BOSSBASE;5.bmp;5;0.552692;0.447308;0.991974
BOSSBASE;5.bmp;6;0.620354;0.379646;0.957792
BOSSBASE;5.bmp;7;0.857594;0.142406;0.590507
BOSSBASE;5.bmp;8;0.629269;0.370731;0.951232
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
MEDICAL;med_0.bmp;1;0.538692;0.461308;0.995676
MEDICAL;med_0.bmp;2;0.551273;0.448727;0.992401
MEDICAL;med_0.bmp;3;0.618607;0.381393;0.959020
MEDICAL;med_0.bmp;4;0.660923;0.339077;0.923933
MEDICAL;med_0.bmp;5;0.762436;0.237564;0.790966
MEDICAL;med_0.bmp;6;0.804924;0.195076;0.711970
MEDICAL;med_0.bmp;7;0.782547;0.217453;0.755489
MEDICAL;med_0.bmp;8;0.998882;0.001118;0.012571
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
OTHER;sat_12.bmp;1;0.481308;0.518692;0.998992
OTHER;sat_12.bmp;2;0.477371;0.522629;0.998522
OTHER;sat_12.bmp;3;0.515827;0.484173;0.999277
OTHER;sat_12.bmp;4;0.451382;0.548618;0.993169
OTHER;sat_12.bmp;5;0.699314;0.300686;0.882128
OTHER;sat_12.bmp;6;0.629528;0.370472;0.951034
OTHER;sat_12.bmp;7;0.764061;0.235939;0.788222
OTHER;sat_12.bmp;8;0.828342;0.171658;0.661483
